team_id,calendar_week,week_index,total_merged_prs,total_completed_tickets,total_commits,merge_count,median_cycle_time_hours,review_latency_hours,post_merge_bug_proxy,ai_signal_events,ai_eligible_events,observed_events,junior_merged_prs,junior_commits,junior_completed_tickets,total_output,junior_output,junior_merged_pr_share,junior_ticket_share,junior_commit_share,junior_output_share,ai_intensity,analysis_sample,ai_proxy_trigger,adoption_week,treated,post_period,event_time,log_total_output,log_ai_eligible_events,median_cycle_time_hours_filled,review_latency_hours_filled,post_merge_bug_proxy_filled
ansible/ansible,2024-12-30,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,0.0,0.2975,186.14236111111111,0.0
ansible/ansible,2025-01-06,2,0,0,0,0,,,0.0,0,1,3,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,0.6931471805599453,0.2975,186.14236111111111,0.0
ansible/ansible,2025-01-13,3,0,0,0,0,,,0.0,0,0,1,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,0.0,0.2975,186.14236111111111,0.0
ansible/ansible,2025-01-20,4,0,0,0,0,,,0.0,0,0,2,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,0.0,0.2975,186.14236111111111,0.0
ansible/ansible,2025-01-27,5,0,0,0,0,,,0.0,0,1,1,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,0.6931471805599453,0.2975,186.14236111111111,0.0
ansible/ansible,2025-02-03,6,0,0,0,0,,238.15541666666667,0.0,0,4,8,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,1.6094379124341003,0.2975,238.15541666666667,0.0
ansible/ansible,2025-02-10,7,0,0,0,0,,,0.0,0,3,6,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,1.3862943611198906,0.2975,186.14236111111111,0.0
ansible/ansible,2025-02-17,8,0,0,0,0,,1616.069166666667,0.0,0,12,14,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,2.5649493574615367,0.2975,1616.069166666667,0.0
ansible/ansible,2025-02-24,9,0,0,0,0,,,0.0,0,0,1,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,0.0,0.2975,186.14236111111111,0.0
ansible/ansible,2025-03-03,10,0,0,0,0,,,0.0,0,7,9,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,2.0794415416798357,0.2975,186.14236111111111,0.0
ansible/ansible,2025-03-10,11,0,3,0,0,,1421.4227777777778,0.0,0,9,11,0,0,3,3,3,,1.0,,1.0,0.0,1,0,,0,0,,1.3862943611198906,2.302585092994046,0.2975,1421.4227777777778,0.0
ansible/ansible,2025-03-17,12,2,0,2,2,0.2975,,0.0,0,5,5,2,2,0,2,2,1.0,,1.0,1.0,0.0,1,0,,0,0,,1.0986122886681098,1.791759469228055,0.2975,186.14236111111111,0.0
ansible/ansible,2025-03-24,13,0,0,0,0,,134.12930555555556,0.0,1,29,33,0,0,0,0,0,,,,,0.0344827586206896,0,0,,0,0,,0.0,3.4011973816621555,0.2975,134.12930555555556,0.0
ansible/ansible,2025-03-31,14,0,0,0,0,,,0.0,0,3,7,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,1.3862943611198906,0.2975,186.14236111111111,0.0
ansible/ansible,2025-04-07,15,0,0,0,0,,,0.0,0,12,12,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,2.5649493574615367,0.2975,186.14236111111111,0.0
ansible/ansible,2025-04-14,16,0,1,0,0,,7.7122222222222225,0.0,0,6,6,0,0,1,1,1,,1.0,,1.0,0.0,1,0,,0,0,,0.6931471805599453,1.9459101490553132,0.2975,7.7122222222222225,0.0
ansible/ansible,2025-04-21,17,0,0,0,0,,0.5238888888888888,0.0,0,3,4,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,1.3862943611198906,0.2975,0.5238888888888888,0.0
ansible/ansible,2025-04-28,18,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,0.0,0,0,,0,0,,0.0,0.0,0.2975,186.14236111111111,0.0
apache/spark,2024-12-30,1,0,0,2,0,,16.589166666666667,0.0,14,22,22,0,2,0,0,0,,,1.0,,0.6363636363636364,0,1,2.0,0,0,-1.0,0.0,3.1354942159291497,5.8025,16.589166666666667,0.0
apache/spark,2025-01-06,2,0,0,3,0,,406.9619444444445,0.0,33,62,62,0,3,0,0,0,,,1.0,,0.532258064516129,0,1,2.0,1,1,0.0,0.0,4.143134726391533,5.8025,406.9619444444445,0.0
apache/spark,2025-01-13,3,0,0,4,0,,18.560833333333335,0.0,38,70,74,0,4,0,0,0,,,1.0,,0.5428571428571428,0,1,2.0,1,1,1.0,0.0,4.2626798770413155,5.8025,18.560833333333335,0.0
apache/spark,2025-01-20,4,0,0,9,0,,16.383055555555554,0.0,37,69,69,0,9,0,0,0,,,1.0,,0.5362318840579711,0,1,2.0,1,1,2.0,0.0,4.248495242049359,5.8025,16.383055555555554,0.0
apache/spark,2025-01-27,5,0,0,10,0,,8.382222222222222,0.0,50,87,91,0,10,0,0,0,,,1.0,,0.5747126436781609,0,1,2.0,1,1,3.0,0.0,4.477336814478207,5.8025,8.382222222222222,0.0
apache/spark,2025-02-03,6,0,0,2,0,,26.5625,0.0,27,54,59,0,2,0,0,0,,,1.0,,0.5,0,1,2.0,1,1,4.0,0.0,4.007333185232471,5.8025,26.5625,0.0
apache/spark,2025-02-10,7,0,0,14,0,,20.458194444444445,0.0,42,81,81,0,14,0,0,0,,,1.0,,0.5185185185185185,0,1,2.0,1,1,5.0,0.0,4.406719247264253,5.8025,20.458194444444445,0.0
apache/spark,2025-02-17,8,0,0,4,0,,155.07472222222222,0.0,24,49,50,0,4,0,0,0,,,1.0,,0.4897959183673469,0,1,2.0,1,1,6.0,0.0,3.912023005428146,5.8025,155.07472222222222,0.0
apache/spark,2025-02-24,9,0,0,6,0,,17.02777777777778,0.0,35,55,57,0,6,0,0,0,,,1.0,,0.6363636363636364,0,1,2.0,1,1,7.0,0.0,4.02535169073515,5.8025,17.02777777777778,0.0
apache/spark,2025-03-03,10,0,0,0,0,,359.33,0.0,9,24,26,0,0,0,0,0,,,,,0.375,0,1,2.0,1,1,8.0,0.0,3.2188758248682006,5.8025,359.33,0.0
apache/spark,2025-03-10,11,0,0,3,0,,3.2530555555555556,0.0,24,51,53,0,3,0,0,0,,,1.0,,0.4705882352941176,0,1,2.0,1,1,9.0,0.0,3.9512437185814275,5.8025,3.2530555555555556,0.0
apache/spark,2025-03-17,12,0,0,2,0,,42.486111111111114,0.0,26,50,51,0,2,0,0,0,,,1.0,,0.52,0,1,2.0,1,1,10.0,0.0,3.9318256327243257,5.8025,42.486111111111114,0.0
apache/spark,2025-03-24,13,0,0,0,0,,30.465,0.0,23,54,57,0,0,0,0,0,,,,,0.4259259259259259,0,1,2.0,1,1,11.0,0.0,4.007333185232471,5.8025,30.465,0.0
apache/spark,2025-03-31,14,0,0,2,0,,50.27333333333333,0.0,33,69,72,0,1,0,0,0,,,0.5,,0.4782608695652174,0,1,2.0,1,1,12.0,0.0,4.248495242049359,5.8025,50.27333333333333,0.0
apache/spark,2025-04-07,15,0,0,1,0,,10.098611111111111,0.0,25,40,42,0,1,0,0,0,,,1.0,,0.625,0,1,2.0,1,1,13.0,0.0,3.713572066704308,5.8025,10.098611111111111,0.0
apache/spark,2025-04-14,16,0,0,2,0,,54.376666666666665,0.0,30,61,62,0,1,0,0,0,,,0.5,,0.4918032786885246,0,1,2.0,1,1,14.0,0.0,4.127134385045092,5.8025,54.376666666666665,0.0
apache/spark,2025-04-21,17,0,0,10,0,,23.91430555555556,0.0,40,63,64,0,9,0,0,0,,,0.9,,0.6349206349206349,0,1,2.0,1,1,15.0,0.0,4.1588830833596715,5.8025,23.91430555555556,0.0
apache/spark,2025-04-28,18,0,0,2,0,,16.061666666666667,0.0,22,44,44,0,2,0,0,0,,,1.0,,0.5,0,1,2.0,1,1,16.0,0.0,3.8066624897703196,5.8025,16.061666666666667,0.0
