team_id,calendar_week,week_index,adoption_week,treated,total_merged_prs,total_completed_tickets,total_output,junior_merged_prs,junior_completed_tickets,junior_output,junior_merged_pr_share,junior_ticket_share,junior_output_share,event_time,post_period,analysis_sample
T001,2026-01-05,1,9.0,0,10,22,32,6,14,20,0.6,0.6363636363636364,0.625,-8.0,0,1
T001,2026-01-12,2,9.0,0,8,11,19,4,6,10,0.5,0.5454545454545454,0.5263157894736842,-7.0,0,1
T001,2026-01-19,3,9.0,0,15,14,29,6,10,16,0.4,0.7142857142857143,0.5517241379310345,-6.0,0,1
T001,2026-01-26,4,9.0,0,14,14,28,8,9,17,0.5714285714285714,0.6428571428571429,0.6071428571428571,-5.0,0,1
T001,2026-02-02,5,9.0,0,9,17,26,4,10,14,0.4444444444444444,0.5882352941176471,0.5384615384615384,-4.0,0,1
T001,2026-02-09,6,9.0,0,9,15,24,6,6,12,0.6666666666666666,0.4,0.5,-3.0,0,1
T001,2026-02-16,7,9.0,0,8,9,17,3,5,8,0.375,0.5555555555555556,0.47058823529411764,-2.0,0,1
T001,2026-02-23,8,9.0,0,13,14,27,6,10,16,0.46153846153846156,0.7142857142857143,0.5925925925925926,-1.0,0,1
T001,2026-03-02,9,9.0,1,11,21,32,6,11,17,0.5454545454545454,0.5238095238095238,0.53125,0.0,1,1
T001,2026-03-09,10,9.0,1,6,14,20,3,6,9,0.5,0.42857142857142855,0.45,1.0,1,1
T001,2026-03-16,11,9.0,1,5,17,22,2,11,13,0.4,0.6470588235294118,0.5909090909090909,2.0,1,1
T001,2026-03-23,12,9.0,1,11,10,21,7,6,13,0.6363636363636364,0.6,0.6190476190476191,3.0,1,1
T001,2026-03-30,13,9.0,1,18,24,42,10,5,15,0.5555555555555556,0.20833333333333334,0.35714285714285715,4.0,1,1
T001,2026-04-06,14,9.0,1,12,16,28,2,8,10,0.16666666666666666,0.5,0.35714285714285715,5.0,1,1
T001,2026-04-13,15,9.0,1,12,16,28,6,7,13,0.5,0.4375,0.4642857142857143,6.0,1,1
T001,2026-04-20,16,9.0,1,11,16,27,5,11,16,0.45454545454545453,0.6875,0.5925925925925926,7.0,1,1
T001,2026-04-27,17,9.0,1,15,15,30,11,10,21,0.7333333333333333,0.6666666666666666,0.7,8.0,1,1
T001,2026-05-04,18,9.0,1,12,17,29,7,9,16,0.5833333333333334,0.5294117647058824,0.5517241379310345,9.0,1,1
T001,2026-05-11,19,9.0,1,14,14,28,8,6,14,0.5714285714285714,0.42857142857142855,0.5,10.0,1,1
T001,2026-05-18,20,9.0,1,9,18,27,6,9,15,0.6666666666666666,0.5,0.5555555555555556,11.0,1,1
T001,2026-05-25,21,9.0,1,7,15,22,4,11,15,0.5714285714285714,0.7333333333333333,0.6818181818181818,12.0,1,1
T001,2026-06-01,22,9.0,1,13,16,29,12,11,23,0.9230769230769231,0.6875,0.7931034482758621,13.0,1,1
T001,2026-06-08,23,9.0,1,10,13,23,4,7,11,0.4,0.5384615384615384,0.4782608695652174,14.0,1,1
T001,2026-06-15,24,9.0,1,18,18,36,8,11,19,0.4444444444444444,0.6111111111111112,0.5277777777777778,15.0,1,1
T001,2026-06-22,25,9.0,1,25,21,46,16,13,29,0.64,0.6190476190476191,0.6304347826086957,16.0,1,1
