team_id,calendar_week,week_index,adoption_week,treated,post_period,event_time,team_size,baseline_complexity,baseline_junior_mix,manager_quality,total_merged_prs,total_completed_tickets,total_output,junior_merged_prs,junior_completed_tickets,junior_output,junior_merged_pr_share,junior_ticket_share,junior_output_share,analysis_sample
T001,2025-01-06,1,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,4,15,19,4,15,19,1.0,1.0,1.0,1
T001,2025-01-13,2,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,21,16,37,21,16,37,1.0,1.0,1.0,1
T001,2025-01-20,3,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,11,12,23,11,11,22,1.0,0.9166666666666666,0.9565217391304348,1
T001,2025-01-27,4,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,8,11,19,8,9,17,1.0,0.8181818181818182,0.8947368421052632,1
T001,2025-02-03,5,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,11,16,27,11,16,27,1.0,1.0,1.0,1
T001,2025-02-10,6,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,8,10,18,8,10,18,1.0,1.0,1.0,1
T001,2025-02-17,7,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,10,11,21,10,11,21,1.0,1.0,1.0,1
T001,2025-02-24,8,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,19,21,40,19,21,40,1.0,1.0,1.0,1
T001,2025-03-03,9,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,16,16,32,15,15,30,0.9375,0.9375,0.9375,1
T001,2025-03-10,10,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,16,21,37,16,21,37,1.0,1.0,1.0,1
T001,2025-03-17,11,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,6,11,17,6,10,16,1.0,0.9090909090909091,0.9411764705882353,1
T001,2025-03-24,12,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,10,11,21,7,11,18,0.7,1.0,0.8571428571428571,1
T001,2025-03-31,13,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,6,14,20,5,13,18,0.8333333333333334,0.9285714285714286,0.9,1
T001,2025-04-07,14,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,17,16,33,15,16,31,0.8823529411764706,1.0,0.9393939393939394,1
T001,2025-04-14,15,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,12,20,32,11,20,31,0.9166666666666666,1.0,0.96875,1
T001,2025-04-21,16,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,9,9,18,9,9,18,1.0,1.0,1.0,1
T001,2025-04-28,17,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,14,19,33,12,16,28,0.8571428571428571,0.8421052631578947,0.8484848484848485,1
T001,2025-05-05,18,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,11,17,28,11,16,27,1.0,0.9411764705882353,0.9642857142857143,1
T001,2025-05-12,19,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,16,28,44,14,26,40,0.875,0.9285714285714286,0.9090909090909091,1
T001,2025-05-19,20,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,16,19,35,14,19,33,0.875,1.0,0.9428571428571428,1
T001,2025-05-26,21,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,8,18,26,7,17,24,0.875,0.9444444444444444,0.9230769230769231,1
T001,2025-06-02,22,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,5,10,15,5,10,15,1.0,1.0,1.0,1
T001,2025-06-09,23,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,9,20,29,9,18,27,1.0,0.9,0.9310344827586207,1
T001,2025-06-16,24,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,12,14,26,12,14,26,1.0,1.0,1.0,1
T001,2025-06-23,25,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,9,6,15,8,6,14,0.8888888888888888,1.0,0.9333333333333333,1
T001,2025-06-30,26,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,5,8,13,5,8,13,1.0,1.0,1.0,1
T001,2025-07-07,27,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,5,18,23,5,17,22,1.0,0.9444444444444444,0.9565217391304348,1
T001,2025-07-14,28,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,9,13,22,9,13,22,1.0,1.0,1.0,1
T001,2025-07-21,29,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,16,21,37,14,21,35,0.875,1.0,0.9459459459459459,1
T001,2025-07-28,30,,0,0,,6,0.09493329250506864,0.6469840978798096,4.002375604502295,8,25,33,8,24,32,1.0,0.96,0.9696969696969697,1
